source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds005237	sub-NDARINVAG023WG3	n/a	7	1	1	4383822417	6056815	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAG339WHH	n/a	3	1	1	1745666419	5322610	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAG388HJL	n/a	7	1	1	4470634577	5752629	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAG900RVD	n/a	7	1	1	4354304287	5783647	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAH529JMM	n/a	7	1	1	4207274403	5350716	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAK834VNU	n/a	7	1	1	4302137057	6387682	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAL101MH2	n/a	7	1	1	4339127359	5693920	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAM061NXD	n/a	7	1	1	4329388775	5615637	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAN576KX1	n/a	7	1	1	4157832905	6551925	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAP729WCD	n/a	7	1	1	4579523321	6281301	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAR463UNP	n/a	7	1	1	4270507122	6348698	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAT097DFG	n/a	7	1	1	4292102782	5492132	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVAZ218MB7	n/a	7	1	1	4546887130	6101866	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBD216MCC	n/a	7	1	1	4321223530	5807726	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBE389YGF	n/a	7	1	1	4487968253	5847702	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBH217XFZ	n/a	7	1	1	4511262883	6181555	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBH315KUM	n/a	7	1	1	4298345870	5720496	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBL062HTE	n/a	4	1	1	2458016904	5936910	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBL128ZXR	n/a	7	1	1	4406215093	5906882	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBL733HBP	n/a	7	1	1	4288609572	4756026	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBM990HJT	n/a	7	1	1	4302700211	5445369	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBN249GWM	n/a	7	1	1	4345811876	5875190	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBU789GV0	n/a	7	1	1	4350592035	5670038	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBY805EE5	n/a	4	1	1	2548706930	5986357	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVBZ622PEX	n/a	7	1	1	4244158216	5732961	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCA042YER	n/a	5	1	1	3009282822	6049679	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCE244AGN	n/a	6	1	1	3786362645	5936137	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCK288RP2	n/a	7	1	1	4203471540	4326323	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCL131GYQ	n/a	7	1	1	4501383149	5860957	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCM621YRY	n/a	5	1	1	3100225045	5753365	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCP169JDZ	n/a	7	1	1	4290426381	5749377	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCV410NUH	n/a	7	1	1	4488525486	5955161	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCW125BLA	n/a	7	1	1	4196879595	5644105	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCW577CWF	n/a	7	1	1	4524381843	6336565	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCX643TCM	n/a	7	1	1	4437586812	6054550	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVCX685EVQ	n/a	7	1	1	4376487196	6178400	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDC524THW	n/a	7	1	1	4310149021	5511726	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDD155BRR	n/a	7	1	1	4187393774	5359782	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDG233EBR	n/a	7	1	1	4230664436	5500146	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDK220VPQ	n/a	7	1	1	4536563974	6633774	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDM785DVB	n/a	7	1	1	4313197442	5521265	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDN485GPF	n/a	7	1	1	4387275506	5569615	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDP288XND	n/a	6	1	1	3689487025	5566414	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDT499KZL	n/a	7	1	1	4437244268	6701712	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDU085XVZ	n/a	7	1	1	4395509108	6427428	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDV232BEQ	n/a	7	1	1	4208401837	5505131	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDW733XXB	n/a	7	1	1	4309455737	5893276	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVDZ608PPY	n/a	7	1	1	4210852939	6166522	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEA806MCW	n/a	7	1	1	4253684867	5584644	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEC746UWL	n/a	7	1	1	4488819791	5873600	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVED812LMR	n/a	7	1	1	4358676789	6181712	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEF266GBV	n/a	5	1	1	3230693109	6671344	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEG178LHD	n/a	7	1	1	4174507750	5338415	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEJ537VGZ	n/a	7	1	1	4266472263	5691902	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEK183ZLE	n/a	7	1	1	4454181752	5634468	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEK685MY0	n/a	7	1	1	4255721316	5236539	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEN039PVQ	n/a	7	1	1	4256283205	5319654	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEP476HJ3	n/a	7	1	1	4478706369	6062649	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEV975LY3	n/a	7	1	1	4113899768	5818585	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEY033HCZ	n/a	6	1	1	3677024734	5825074	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVEY681MZ7	n/a	7	1	1	4297219039	5854605	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFE128JJV	n/a	5	1	1	3002146948	5401388	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFH503ZWA	n/a	7	1	1	4302673521	5477552	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFJ172LJ5	n/a	7	1	1	4501812944	6445209	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFT463JPQ	n/a	7	1	1	4354052347	5930978	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFU389BX1	n/a	7	1	1	4432072968	5392840	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFW143KVU	n/a	7	1	1	4210636765	5603239	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFW820XN0	n/a	7	1	1	4351693482	5544947	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFW876XT7	n/a	7	1	1	4291918256	5504568	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFX289XV7	n/a	7	1	1	4285080881	5549973	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVFY729CMQ	n/a	7	1	1	4333926212	5947462	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGB107TDU	n/a	7	1	1	4587913385	6527269	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGB371PPV	n/a	4	1	1	2540242293	6288222	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGG504ENV	n/a	7	1	1	4335293720	5807479	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGH969TWR	n/a	7	1	1	4516843984	6157963	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGK662YZW	n/a	7	1	1	4116488216	5568404	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGM287EF8	n/a	7	1	1	4423908590	4663391	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGN063ZRV	n/a	6	1	1	3662009489	5783088	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGN082RP7	n/a	7	1	1	4406123946	5708748	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGR029VCQ	n/a	7	1	1	4539825936	6193077	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGR746CR0	n/a	7	1	1	4165539072	5608738	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGT021UPR	n/a	4	1	1	2424631296	5840046	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGT486MAN	n/a	7	1	1	4334883964	5706599	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGU013UHX	n/a	7	1	1	4225515193	5389230	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVGZ602BF8	n/a	7	1	1	4203274744	5435154	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHA329EL1	n/a	4	1	1	2412991111	6178961	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHB925HEK	n/a	7	1	1	4390709684	5636452	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHG032NYJ	n/a	7	1	1	4236973917	5355923	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHT721HFR	n/a	7	1	1	4308332042	6182317	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHV402VH9	n/a	7	1	1	4259684172	5246168	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHW100CDA	n/a	5	1	1	3053569235	5617266	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHY331CLY	n/a	7	1	1	4357134249	6393040	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVHZ510TB2	n/a	7	1	1	4455138578	6404404	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJA418ZRD	n/a	7	1	1	4430558320	6014912	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJC140HGJ	n/a	7	1	1	4427799220	5753627	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJK969JZ8	n/a	7	1	1	4315529656	5256039	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJP343BJ6	n/a	7	1	1	4301449703	5378566	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJP751NXV	n/a	7	1	1	4377862136	5721570	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJR138MBQ	n/a	7	1	1	4358478813	5459779	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJT215VYQ	n/a	7	1	1	4568789398	6674782	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJT253NWQ	n/a	4	1	1	2512949525	4594879	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJT886CG5	n/a	7	1	1	4225826297	5352876	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJV338PGX	n/a	5	1	1	3194484818	6166925	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJX155XLR	n/a	7	1	1	4446086448	6016438	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVJY908YB9	n/a	7	1	1	4447082700	5836965	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVKC627BAV	n/a	7	1	1	4242930722	5681858	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVKD900ED7	n/a	7	1	1	4328814159	6024730	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVKF855DZG	n/a	6	1	1	3675756653	5694638	n/a	n/a	n/a	n/a	anat,fmap,func
ds005237	sub-NDARINVKH279ZDZ	n/a	7	1	1	4253521999	5543862	n/a	n/a	n/a	n/a	anat,fmap,func
